t,freq_hz,commanded_deg,measured_deg
0.10771,0.2,0.0,1.7
0.13623,0.2151,2.903,0.1
0.2435,0.2191,3.73,0.1
0.27403,0.2341,7.013,0.1
0.38286,0.2384,7.982,0.1
0.41156,0.2536,11.46,0.1
0.51893,0.2576,12.361,0.1
0.54895,0.2727,15.53,0.2
0.65585,0.2769,16.326,0.2
0.68433,0.2918,18.66,0.3
0.79223,0.2958,19.114,-0.3
0.8216,0.3109,19.995,1.0
0.93228,0.315,19.969,0.2
0.9603,0.3305,18.679,0.1
1.0671,0.3344,18.033,-0.3
1.09665,0.3494,14.331,0.2
1.20386,0.3535,12.967,-0.1
1.2341,0.3686,6.926,0.1
1.34404,0.3728,4.967,0.2
1.37326,0.3882,-2.723,0.1
1.48217,0.3923,-4.816,0.2
1.5103,0.4075,-12.161,0.2
1.61802,0.4115,-13.822,0.2
1.64684,0.4265,-18.603,0.1
1.75308,0.4306,-19.343,0.2
1.78465,0.4454,-19.624,0.2
1.89345,0.4499,-18.907,0.2
1.92084,0.4651,-13.632,0.2
2.0294,0.4689,-11.679,1.2
2.05898,0.4841,-2.19,0.1
2.16792,0.4883,0.673,0.1
2.19604,0.5035,10.886,0.2
2.30322,0.5075,13.171,-0.9
2.33369,0.5225,19.147,0.2
2.44494,0.5267,19.83,-0.3
2.47355,0.5423,17.766,-0.2
2.58336,0.5463,16.08,0.2
2.61282,0.5617,6.049,0.2
2.72052,0.5658,2.71,0.2
2.74817,0.5809,-9.67,0.2
2.85608,0.5848,-12.459,0.2
2.88536,0.5999,-19.471,0.1
2.99395,0.604,-19.979,0.1
3.02251,0.6192,-15.896,0.2
3.13134,0.6232,-13.362,0.2
3.15943,0.6384,-0.113,-0.1
3.26862,0.6423,3.675,0.1
3.29859,0.6576,16.146,0.9
3.40753,0.6618,18.258,0.1
3.43555,0.6771,18.724,0.1
3.54299,0.681,16.913,0.2
3.57282,0.696,4.234,-0.3
3.67964,0.7002,-0.22,0.1
3.71016,0.7152,-14.715,0.1
3.81963,0.7194,-17.479,0.2
3.849,0.7348,-18.751,0.1
3.95569,0.7389,-16.614,0.1
3.98663,0.7538,-2.267,0.1
4.09411,0.7581,2.81,0.2
