t,freq_hz,commanded_deg,measured_deg
0.10501,0.2,0.0,0.0
0.13235,0.2147,2.825,0.0
0.24284,0.2185,3.616,1.2
0.27347,0.234,6.992,0.0
0.38441,0.2383,7.963,0.0
0.41239,0.2538,11.509,-0.2
0.52012,0.2577,12.387,0.0
0.55108,0.2728,15.563,-0.2
0.66146,0.2772,16.382,0.2
0.6894,0.2926,18.756,0.0
0.79899,0.2965,19.186,-0.2
0.83553,0.3119,20.0,0.0
0.93674,0.317,19.913,-0.6
0.96614,0.3311,18.586,-0.2
1.0746,0.3353,17.881,1.1
1.10265,0.3505,13.998,0.0
1.21134,0.3544,12.674,-1.2
1.24172,0.3696,6.45,0.0
1.35242,0.3739,4.456,-0.2
1.38003,0.3893,-3.324,-0.2
1.48758,0.3932,-5.298,0.0
1.51711,0.4083,-12.492,0.0
1.62565,0.4124,-14.204,0.8
1.6539,0.4276,-18.824,0.1
1.76152,0.4316,-19.484,0.0
1.79218,0.4466,-19.468,0.0
1.89984,0.4509,-18.68,-0.2
1.92893,0.466,-13.196,-0.6
2.03655,0.4701,-11.061,-0.4
2.06708,0.4851,-1.506,-0.2
2.17565,0.4894,1.463,0.0
2.20614,0.5046,11.537,0.0
2.31428,0.5089,13.932,0.5
2.34432,0.524,19.453,-0.3
2.45253,0.5282,19.946,0.0
2.48295,0.5434,17.364,0.0
2.59117,0.5476,15.432,-0.2
2.62211,0.5628,5.185,0.0
2.73166,0.5671,1.626,0.4
2.75959,0.5824,-10.831,0.0
2.86792,0.5864,-13.519,0.0
2.89835,0.6015,-19.756,-0.2
3.00784,0.6058,-19.987,0.0
3.03697,0.6211,-14.731,0.0
3.14552,0.6252,-11.887,0.0
3.17557,0.6404,1.803,0.0
3.28332,0.6446,5.818,0.0
3.31292,0.6597,17.276,0.0
3.42105,0.6638,18.99,0.0
3.44928,0.679,17.944,-0.2
3.5583,0.6829,15.759,0.0
3.58917,0.6982,1.964,0.0
3.69632,0.7025,-2.678,-1.0
3.72668,0.7175,-16.334,-0.2
3.83543,0.7217,-18.583,0.0
