t,freq_hz,commanded_deg,measured_deg
0.10947,0.2,0.0,-5.7
0.13776,0.2153,2.954,-5.6
0.24452,0.2193,3.775,-5.1
0.27417,0.2342,7.044,-5.6
0.38177,0.2384,7.986,-5.6
0.41188,0.2535,11.425,-5.6
0.51735,0.2577,12.371,-5.4
0.54778,0.2724,15.487,-4.3
0.65675,0.2767,16.296,-5.6
0.68583,0.292,18.675,-5.7
0.79214,0.296,19.135,-5.4
0.81967,0.3109,19.995,-5.6
0.92738,0.3148,19.975,-5.6
0.95631,0.3299,18.777,-5.1
1.06491,0.3339,18.132,-5.6
1.09517,0.3491,14.425,-5.6
1.20491,0.3533,13.04,-5.6
1.23281,0.3687,6.862,-5.6
1.33988,0.3726,5.053,-5.6
1.36745,0.3876,-2.425,-5.6
1.47602,0.3914,-4.4,-5.6
1.50417,0.4067,-11.783,-6.0
1.6132,0.4106,-13.471,-4.9
1.64136,0.4259,-18.455,-5.6
1.74968,0.4298,-19.223,-5.6
1.77831,0.445,-19.678,-5.1
1.88483,0.449,-19.081,-5.7
1.91284,0.4639,-14.199,-5.6
2.01812,0.4678,-12.272,-5.6
2.04862,0.4825,-3.271,-5.0
2.15711,0.4868,-0.336,-5.6
2.1873,0.502,9.955,-5.8
2.29713,0.5062,12.493,-5.6
2.32557,0.5216,18.952,-5.6
2.43429,0.5256,19.698,-5.6
2.46325,0.5408,18.278,-5.7
2.57278,0.5449,16.739,-6.4
2.60016,0.5602,7.211,-5.6
2.70607,0.564,4.165,-5.6
2.7325,0.5789,-8.111,-5.4
2.84054,0.5826,-10.915,-5.6
2.86919,0.5977,-18.933,-5.7
2.97887,0.6017,-19.781,-5.6
3.00669,0.617,-17.01,-5.6
3.1139,0.6209,-14.834,-5.6
3.1444,0.636,-2.466,-5.4
3.25307,0.6402,1.65,-5.6
3.28313,0.6554,14.769,-5.1
3.38905,0.6596,17.262,-5.3
3.41935,0.6745,19.495,-5.6
3.52533,0.6787,18.054,-5.6
3.5559,0.6936,6.769,-5.7
3.67136,0.6978,2.324,-5.7
3.70202,0.714,-13.816,-5.6
3.81127,0.7183,-16.83,-6.2
3.84085,0.7336,-19.173,-5.6
3.94691,0.7377,-17.309,-5.6
3.97686,0.7526,-3.698,-5.6
4.0863,0.7568,1.205,-5.6
4.11418,0.7721,16.544,-5.3
4.2225,0.776,18.714,-5.7
4.25054,0.7912,16.839,-5.6
4.35949,0.7951,13.73,-5.6
4.38923,0.8103,-4.082,-5.6
4.49615,0.8145,-9.086,-5.4
4.5268,0.8295,-19.834,-4.5
4.63437,0.8338,-19.767,-5.6
4.66281,0.8488,-8.079,-5.6
4.77073,0.8528,-2.943,-5.6
4.80134,0.8679,15.465,-5.6
4.90854,0.8722,18.492,-5.6
4.9357,0.8872,15.807,-5.6
5.0424,0.891,11.979,-5.6
5.07281,0.9059,-8.313,-5.7
5.17952,0.9102,-13.447,-5.6
5.20823,0.9251,-19.312,-5.7
5.31707,0.9292,-16.926,-5.6
5.34669,0.9444,2.694,-5.7
5.45623,0.9485,8.699,-5.3
5.48371,0.9639,19.966,-5.6
5.5922,0.9677,18.738,-5.6
5.61931,0.9829,0.408,-5.6
5.72755,0.9867,-5.55,-5.6
5.75647,1.0019,-19.946,-5.6
5.86465,1.0059,-19.354,-5.6
5.89284,1.0211,-1.465,-5.4
