t,freq_hz,commanded_deg,measured_deg
0.10392,0.2,0.0,-0.1
0.13172,0.2146,2.794,0.5
0.23923,0.2184,3.597,-0.5
0.26484,0.2335,6.879,0.3
0.3686,0.2371,7.689,0.3
0.39597,0.2516,11.008,0.5
0.50252,0.2554,11.874,0.5
0.52791,0.2704,15.075,0.5
0.63309,0.2739,15.773,0.5
0.65935,0.2886,18.241,0.5
0.76198,0.2923,18.72,0.3
0.7883,0.3067,19.896,1.8
0.89331,0.3104,19.989,0.9
0.9189,0.3251,19.358,0.5
1.02457,0.3287,18.941,0.1
1.05042,0.3434,16.038,0.3
1.15655,0.3471,15.036,0.3
1.18326,0.3619,9.789,0.3
1.28774,0.3657,8.207,0.3
1.31579,0.3803,1.289,0.3
1.42144,0.3842,-0.7,0.2
1.44833,0.399,-8.196,0.3
1.55425,0.4028,-10.004,-0.1
1.58001,0.4176,-16.112,0.3
1.6838,0.4212,-17.249,0.3
1.7098,0.4357,-19.895,0.3
1.81622,0.4394,-19.999,0.5
1.84182,0.4543,-17.816,0.5
1.94787,0.4579,-16.659,0.6
1.97575,0.4727,-9.548,0.3
2.08166,0.4766,-7.165,0.3
2.10855,0.4914,2.884,0.3
2.21367,0.4952,5.481,0.3
2.2392,0.5099,14.478,0.5
2.34579,0.5135,16.168,0.3
2.37294,0.5284,19.957,0.5
2.47815,0.5322,19.934,0.3
2.50478,0.5469,15.768,0.3
2.61136,0.5507,13.747,0.3
2.63934,0.5656,2.877,0.3
2.74512,0.5695,-0.4,0.3
2.77305,0.5843,-12.164,0.2
2.87918,0.5882,-14.685,0.3
2.90606,0.6031,-19.927,0.3
3.01178,0.6069,-19.927,0.3
3.03875,0.6217,-14.373,0.3
3.14695,0.6254,-11.698,0.3
3.17245,0.6406,1.995,0.3
3.27601,0.6441,5.405,0.5
3.30395,0.6587,16.737,0.3
3.40717,0.6626,18.554,0.3
3.43384,0.677,18.743,0.3
3.53913,0.6807,17.045,0.2
3.5655,0.6955,4.794,0.3
3.66987,0.6992,0.887,0.5
3.69807,0.7138,-13.648,0.5
3.80294,0.7177,-16.489,0.3
3.83079,0.7324,-19.508,0.3
3.9367,0.7363,-18.06,0.3
3.9645,0.7511,-5.333,0.3
4.07202,0.755,-0.835,0.3
4.09728,0.7701,15.071,0.3
4.20047,0.7736,17.512,0.5
4.22869,0.7881,18.581,0.3
4.33474,0.792,16.233,0.5
4.36176,0.8069,0.3,0.3
4.46858,0.8107,-4.474,0.3
4.49453,0.8256,-18.565,0.3
4.60105,0.8292,-19.794,0.3
4.62793,0.8442,-13.314,0.3
4.73545,0.8479,-9.175,0.5
4.76102,0.863,10.357,0.5
4.86516,0.8666,14.205,1.7
4.89276,0.8811,19.466,0.5
4.99877,0.885,17.517,0.3
5.02421,0.8998,0.238,0.5
5.12853,0.9034,-4.838,0.3
5.15404,0.918,-19.31,0.1
5.25827,0.9216,-20.0,0.5
5.28664,0.9362,-9.342,-0.2
5.39121,0.9401,-3.724,0.3
5.41714,0.9548,15.989,0.3
5.52303,0.9584,18.679,0.3
5.54955,0.9732,14.123,0.3
