trial,latency_ms,baseline_sigma_deg
1,56.4,0.161
2,51.1,0.121
3,48.6,0.117
4,54.3,0.099
5,43.9,0.143
6,48.6,0.145
7,55.8,0.1
8,54.5,0.095
9,48.1,0.105
10,51.0,0.12
12,55.0,0.108
13,55.5,0.098
14,60.8,0.122
