t,freq_hz,commanded_deg,measured_deg
0.10161,0.2,0.0,-0.8
0.12863,0.2142,2.728,-0.8
0.23387,0.218,3.507,-0.5
0.26178,0.2327,6.709,-1.0
0.36848,0.2367,7.591,-0.8
0.39391,0.2516,11.004,-1.4
0.49911,0.2552,11.808,-0.7
0.52474,0.2699,14.979,-0.8
0.62905,0.2735,15.688,-0.8
0.65728,0.2881,18.162,-1.0
0.76381,0.292,18.685,-1.0
0.79175,0.3069,19.905,-0.8
0.89694,0.3109,19.994,-0.8
0.92416,0.3256,19.306,-0.8
1.0278,0.3294,18.842,-0.8
1.05647,0.3439,15.92,-0.8
1.16248,0.3479,14.786,-0.7
1.18921,0.3628,9.445,-0.8
1.29353,0.3665,7.845,-0.8
1.31921,0.3811,0.879,-0.8
1.42727,0.3847,-0.944,-0.8
1.45424,0.3998,-8.595,-0.8
1.55693,0.4036,-10.391,-0.8
1.58535,0.418,-16.239,-0.8
1.69126,0.422,-17.463,-0.8
1.71944,0.4368,-19.95,-1.0
1.8243,0.4407,-19.976,-1.0
1.85194,0.4554,-17.477,-0.8
1.95755,0.4593,-16.139,-1.4
1.9853,0.4741,-8.741,-0.8
2.09294,0.4779,-6.314,-0.8
2.11823,0.493,3.977,-0.8
2.2217,0.4966,6.399,-1.0
2.24912,0.511,15.037,-0.8
2.35407,0.5149,16.756,-1.0
2.38252,0.5296,19.996,0.0
2.48718,0.5336,19.822,-1.0
2.51343,0.5482,15.124,-0.8
2.62037,0.5519,13.019,-1.0
2.65081,0.5669,1.833,-0.8
2.75833,0.5711,-1.758,-1.0
2.78385,0.5862,-13.403,-1.1
2.88991,0.5897,-15.553,-0.8
2.91787,0.6046,-19.997,-1.0
3.02172,0.6085,-19.743,-1.0
3.0498,0.623,-13.44,-0.8
3.1554,0.627,-10.481,-0.8
3.1836,0.6418,3.138,-1.0
3.28755,0.6457,6.861,-1.0
3.31615,0.6603,17.568,-0.8
3.42166,0.6643,19.129,-0.8
3.44979,0.679,17.904,-0.8
3.5555,0.683,15.713,-0.8
3.58099,0.6978,2.382,-0.8
3.68661,0.7013,-1.448,-0.8
3.7127,0.7161,-15.42,-0.8
3.81685,0.7198,-17.67,-1.1
3.84564,0.7344,-18.9,-0.8
3.95335,0.7384,-16.911,-0.8
3.97896,0.7535,-2.654,-0.8
4.08299,0.7571,1.549,-1.8
4.11117,0.7716,16.225,-0.8
4.21562,0.7756,18.527,-0.8
4.24404,0.7902,17.454,-0.8
4.35002,0.7942,14.534,-0.8
4.3779,0.809,-2.416,-0.8
4.48311,0.8129,-7.23,-0.8
4.51125,0.8276,-19.386,-0.8
4.61717,0.8316,-19.999,-0.8
4.64304,0.8464,-10.914,-1.0
4.74619,0.85,-6.563,-1.0
4.77512,0.8645,12.058,-0.8
4.87913,0.8685,15.984,-0.8
4.90726,0.8831,18.654,-1.2
5.0107,0.887,15.962,-0.7
5.03784,0.9015,-2.172,-0.8
5.14456,0.9053,-7.461,-0.8
5.17191,0.9202,-19.903,-0.8
5.27826,0.9241,-19.663,-0.8
5.30605,0.939,-5.444,-0.8
5.41166,0.9429,0.36,-0.8
5.43758,0.9576,18.227,-1.5
5.54525,0.9613,19.792,-0.8
5.57281,0.9763,10.279,-0.8
5.68055,0.9802,4.665,0.1
5.70546,0.9953,-16.457,-1.0
5.81116,0.9988,-18.961,-0.8
5.83854,1.0136,-12.744,-1.0
5.94266,1.0174,-7.339,-0.8
5.97061,1.032,14.814,-0.8
6.07662,1.0359,18.352,-0.8
6.10469,1.0507,13.225,0.1
6.20949,1.0547,7.539,-0.3
6.23508,1.0693,-15.417,-1.0
6.33927,1.0729,-18.585,-0.8
6.36706,1.0875,-12.355,-0.8
6.4728,1.0914,-6.298,-0.8
6.49795,1.1062,16.903,-0.7
6.60143,1.1097,19.401,-1.0
6.63098,1.1242,9.48,-1.2
6.73515,1.1283,2.243,-0.8
6.76347,1.1429,-18.939,-0.8
6.87068,1.1469,-19.98,-0.8
6.89801,1.1619,-2.113,-1.5
7.0026,1.1657,5.137,-1.0
7.03083,1.1804,19.902,-1.8
7.1363,1.1843,17.713,-1.0
7.16166,1.1991,-7.032,-0.8
7.26783,1.2026,-13.037,-0.8
7.29294,1.2175,-16.275,-0.8
7.39913,1.221,-11.252,-0.8
7.42443,1.2359,15.769,-0.8
7.52942,1.2394,19.101,-0.8
7.55766,1.2541,7.017,-0.8
7.66125,1.2581,-1.038,-0.8
7.68956,1.2726,-20.0,-0.8
7.79386,1.2765,-18.297,-0.8
7.82096,1.2912,7.733,-0.8
7.92704,1.2949,14.385,-0.8
7.95308,1.3098,13.426,-1.4
8.05845,1.3134,6.649,-0.8
8.08664,1.3282,-19.146,-0.8
8.19076,1.3321,-19.799,-0.8
8.21788,1.3467,3.847,-0.8
8.32508,1.3505,11.593,-0.8
8.35244,1.3655,14.736,-0.8
8.4554,1.3693,7.661,-1.0
8.48445,1.3838,-19.033,-0.8
8.59132,1.3878,-19.753,-0.8
8.62019,1.4028,6.407,-1.0
8.72731,1.4068,14.356,-0.8
8.75404,1.4218,10.837,-0.8
8.85813,1.4256,2.552,-0.8
8.88606,1.4401,-19.98,-0.8
8.99241,1.4441,-17.401,-1.1
9.01857,1.459,13.66,-0.8
9.12534,1.4626,18.629,-0.8
9.15121,1.4776,2.095,-0.8
9.25576,1.4812,-6.738,-1.0
9.2813,1.4958,-16.541,-1.0
9.38555,1.4994,-10.035,-0.8
9.41375,1.514,19.363,-1.0
9.51912,1.5179,19.386,-0.8
9.54725,1.5327,-10.708,-1.0
9.65218,1.5366,-17.561,-0.8
9.67943,1.5513,-3.294,-1.1
9.78525,1.5551,6.516,-1.0
9.811,1.5699,15.207,-0.8
9.91539,1.5735,7.58,-0.8
9.94319,1.5882,-19.997,-0.8
10.04837,1.5921,-17.514,-0.8
10.07421,1.6068,15.851,-0.5
10.17902,1.6104,19.726,-0.8
10.20706,1.6251,-5.184,-0.8
10.31096,1.629,-14.348,-0.8
10.33935,1.6435,-6.581,-1.0
10.44472,1.6475,4.282,-0.8
10.47269,1.6623,15.247,-0.8
10.57747,1.6662,6.242,-0.4
10.60505,1.6809,-19.663,-0.8
10.71186,1.6847,-14.872,-0.8
10.73989,1.6997,19.263,-1.1
10.84792,1.7036,19.156,-0.8
10.87355,1.7187,-15.768,-0.8
10.98186,1.7223,-19.803,0.0
11.00657,1.7375,9.714,-0.8
11.11137,1.7409,17.006,-0.8
11.1394,1.7556,-0.911,-0.8
11.24737,1.7595,-11.768,-0.8
11.27291,1.7746,-4.962,-0.8
11.37653,1.7782,5.665,-1.0
11.40343,1.7927,12.251,-0.8
11.50996,1.7965,1.731,-0.8
11.53586,1.8114,-16.231,-0.8
11.64233,1.815,-7.588,-0.8
11.66848,1.8299,18.823,-0.8
11.77598,1.8336,12.216,-1.4
11.80161,1.8486,-19.846,-1.4
11.90655,1.8522,-15.452,-1.0
11.9333,1.8669,19.823,-1.6
12.03813,1.8707,17.907,-0.8
12.0662,1.8853,-18.865,-0.8
12.17067,1.8893,-19.152,-0.8
12.19628,1.9039,17.638,-0.8
12.29779,1.9075,19.919,-0.8
12.32595,1.9217,-14.812,-0.8
12.43144,1.9256,-19.917,-0.8
12.46084,1.9404,13.894,-0.8
12.56488,1.9445,19.851,-0.8
12.59038,1.9591,-13.309,-0.8
12.69534,1.9627,-19.394,-0.8
12.72094,1.9774,12.089,0.4
12.82362,1.9809,19.001,-0.7
12.85028,1.9953,-10.422,-0.8
12.95187,1.999,-18.521,-0.8
12.97992,2.0133,9.166,-1.0
13.08402,2.0172,18.257,-0.8
13.11236,2.0318,-10.062,-0.8
13.21703,2.0357,-18.751,-0.1
13.24247,2.0504,11.783,-1.0
13.34753,2.054,19.006,-0.8
13.37492,2.0687,-12.918,-0.8
13.48197,2.0725,-19.636,-0.8
13.50868,2.0875,15.685,-0.8
13.61402,2.0912,20.0,-0.8
13.63977,2.106,-17.589,-0.8
13.74456,2.1096,-19.764,-0.8
13.77046,2.1242,18.9,-0.8
13.87237,2.1279,18.945,0.1
13.90031,2.1421,-19.562,-1.0
14.00671,2.146,-17.475,-1.6
14.03212,2.1609,19.873,-0.8
14.13691,2.1645,14.347,-0.8
14.16473,2.1792,-18.732,-0.8
14.27084,2.1831,-9.327,-0.8
14.29694,2.1979,14.884,-0.8
14.40148,2.2016,3.01,-0.8
14.42965,2.2162,-9.973,-0.8
14.53487,2.2202,4.51,-0.8
14.56302,2.2349,2.003,-0.8
14.66996,2.2388,-12.181,-0.8
14.6957,2.2538,7.773,-0.7
14.80165,2.2574,17.777,-0.8
14.82829,2.2722,-14.841,-1.0
14.93524,2.276,-20.0,-0.8
14.96237,2.2909,19.542,-0.8
15.06823,2.2947,17.227,-1.5
15.09618,2.3096,-18.976,-0.8
15.20247,2.3135,-9.118,-0.4
15.22952,2.3284,12.063,-0.8
15.33593,2.3321,-2.187,-0.8
15.36409,2.347,-0.728,-0.8
15.47178,2.351,13.764,-0.7
15.49627,2.3661,-12.475,-1.0
15.60073,2.3695,-19.603,-0.7
15.6281,2.3841,18.773,-0.8
15.73319,2.3879,18.142,-0.8
15.76036,2.4027,-18.961,-0.7
15.86503,2.4065,-8.879,-0.8
15.89313,2.4211,10.56,-0.8
15.99723,2.425,-5.188,-1.4
16.02645,2.4396,3.428,-0.8
16.13065,2.4437,17.17,0.5
16.15628,2.4583,-16.485,-1.0
16.26189,2.4619,-19.754,-0.8
16.28908,2.4767,19.74,-0.8
16.39484,2.4805,11.252,-0.7
16.42051,2.4953,-10.703,-0.8
16.52371,2.4989,4.106,-0.5
16.55061,2.5133,-3.7,-0.8
16.65739,2.5171,-16.86,-0.8
16.68312,2.532,17.963,-0.8
16.78676,2.5356,18.918,-0.8
16.81584,2.5502,-18.636,-1.0
16.92115,2.5542,-5.992,-0.8
16.9467,2.569,3.742,-0.8
17.05128,2.5725,-11.373,-0.8
17.07918,2.5872,13.223,0.5
17.18701,2.5911,19.994,-0.7
17.21244,2.6062,-19.281,-0.8
17.31663,2.6097,-9.603,-0.8
17.34321,2.6243,6.799,-1.0
17.45027,2.6281,-9.528,-1.0
17.47656,2.643,13.862,-0.8
17.58409,2.6467,19.987,-1.2
17.61004,2.6618,-18.806,-0.1
17.71613,2.6654,-7.572,-0.8
17.74256,2.6803,1.99,-0.5
17.84945,2.684,-13.745,-0.8
17.87417,2.6989,17.789,-1.0
17.97886,2.7024,18.9,-0.8
18.00569,2.717,-16.215,-1.0
18.11343,2.7208,-1.255,-0.8
18.13914,2.7359,-6.959,-1.0
18.24364,2.7395,-18.7,-0.7
18.26986,2.7541,19.992,-0.7
18.3744,2.7578,13.265,-0.8
18.40195,2.7724,-7.152,-0.8
18.50811,2.7763,10.614,-1.2
18.53604,2.7911,-16.817,-1.0
18.64143,2.7951,-18.629,-0.8
18.66603,2.8098,13.786,-0.3
18.77172,2.8132,-1.545,-0.8
18.79981,2.828,10.447,-1.0
18.90435,2.832,19.966,-0.8
18.93225,2.8466,-18.426,-0.8
19.0374,2.8505,-4.133,-0.8
