dt,deg,trial
0.38644,12.3,12
0.42287,12.600000000000001,12
0.45834,11.9,12
0.49358,11.8,12
0.53039,11.5,12
0.56603,11.9,12
0.59998,11.9,12
0.6379,11.4,12
0.67288,11.4,12
0.70833,11.2,12
0.02517,0.09999999999999964,13
0.11587,12.1,13
0.14358,11.6,13
0.17973,11.6,13
0.21566,11.6,13
0.24849,11.6,13
0.28419,11.6,13
0.31979,11.6,13
0.35482,11.6,13
0.38976,11.6,13
0.42569,11.6,13
0.46107,11.6,13
0.49777,11.0,13
0.53296,10.7,13
0.56828,11.3,13
0.60386,11.6,13
0.63775,11.7,13
0.67463,11.8,13
0.70857,11.6,13
0.02131,0.2999999999999998,14
0.11094,11.5,14
0.13903,11.7,14
0.17646,11.7,14
0.21046,11.4,14
0.24552,12.2,14
0.28143,11.9,14
0.31765,12.1,14
0.3534,12.1,14
0.38966,11.9,14
0.42368,12.1,14
0.45964,12.1,14
0.49488,12.1,14
0.5306,12.1,14
0.56623,12.1,14
0.6018,11.4,14
0.63727,12.1,14
0.67259,11.8,14
0.70924,11.9,14
0.02063,-0.09999999999999964,15
0.11143,9.3,15
0.13925,8.4,15
0.17463,10.9,15
0.21094,11.0,15
0.2464,11.0,15
0.27939,11.1,15
0.31571,10.9,15
0.35084,11.0,15
0.38674,11.0,15
0.41954,11.3,15
0.45543,11.0,15
0.49166,11.0,15
0.52501,10.9,15
0.56056,11.0,15
0.59643,11.0,15
0.63176,11.4,15
0.6678,11.0,15
0.70022,11.0,15
0.02502,1.0999999999999996,16
0.11453,9.4,16
0.14321,12.3,16
0.17974,11.7,16
0.21624,11.8,16
0.25158,11.2,16
0.28477,11.8,16
0.32137,13.0,16
0.3554,11.9,16
0.39177,11.9,16
0.42669,11.9,16
0.4621,11.9,16
0.49628,11.9,16
0.53336,11.9,16
0.56773,11.9,16
0.60124,11.9,16
0.63687,11.9,16
0.67367,12.1,16
0.70954,11.9,16
0.02541,-0.5999999999999996,17
0.11606,10.3,17
0.14407,10.6,17
0.18146,11.0,17
0.21484,11.0,17
0.25063,11.1,17
0.28807,11.0,17
0.3224,10.9,17
0.35677,11.0,17
0.39207,10.9,17
0.42588,11.8,17
0.46151,10.9,17
0.49714,10.9,17
0.5329,10.9,17
0.5678,10.3,17
0.60332,11.0,17
0.63789,11.0,17
0.67308,10.9,17
0.70883,10.9,17
0.02529,1.0999999999999996,18
0.11565,10.4,18
0.14522,11.7,18
0.18083,11.5,18
0.2139,11.9,18
0.24948,12.2,18
0.28618,12.1,18
0.31996,12.1,18
0.35598,12.2,18
0.39079,11.2,18
0.42764,11.1,18
0.46242,12.1,18
0.49776,11.9,18
0.53293,12.2,18
0.57008,12.1,18
0.6062,12.2,18
0.64197,12.1,18
0.67591,13.0,18
0.71264,12.2,18
0.02574,-0.09999999999999964,19
0.11393,9.9,19
0.1447,10.6,19
0.18159,12.1,19
0.21474,12.0,19
0.25138,10.9,19
0.28648,10.9,19
0.322,10.9,19
0.35645,10.9,19
0.39155,10.9,19
0.42715,11.0,19
0.46116,11.0,19
0.49773,10.9,19
0.53098,11.0,19
0.56656,10.9,19
0.6009,10.9,19
0.63581,11.0,19
0.67138,10.9,19
0.70758,10.9,19
0.02173,1.0,20
0.11252,9.9,20
0.14177,11.8,20
0.17731,11.8,20
0.21302,11.7,20
