t,freq_hz,commanded_deg,measured_deg
0.10813,0.2,0.0,0.0
0.13892,0.2151,2.915,-0.1
0.2467,0.2195,3.809,0.2
0.27748,0.2345,7.113,0.2
0.38493,0.2389,8.092,0.3
0.41329,0.2539,11.525,0.2
0.52172,0.2579,12.415,0.2
0.55032,0.2731,15.607,0.3
0.65918,0.2771,16.362,0.2
0.68836,0.2923,18.717,0.3
0.79536,0.2964,19.172,0.2
0.82253,0.3114,19.998,0.2
0.92757,0.3152,19.966,0.2
0.95571,0.3299,18.775,0.0
1.06321,0.3338,18.147,0.2
1.09334,0.3489,14.499,0.3
1.20193,0.3531,13.127,0.3
1.23385,0.3683,7.049,0.3
1.3425,0.3727,4.981,0.3
1.37066,0.388,-2.614,0.2
1.47666,0.3919,-4.63,0.6
1.50533,0.4067,-11.821,0.2
1.6113,0.4108,-13.54,0.2
1.6409,0.4256,-18.393,0.3
1.74701,0.4297,-19.212,0.2
1.7775,0.4446,-19.719,0.3
1.88615,0.4489,-19.102,-0.4
1.91667,0.4641,-14.113,0.8
2.02593,0.4683,-11.991,1.5
2.05545,0.4836,-2.525,0.2
2.16638,0.4878,0.331,0.2
2.1947,0.5033,10.756,0.2
2.30098,0.5073,13.07,0.2
2.32895,0.5221,19.077,0.3
2.43705,0.5261,19.757,-0.2
2.46687,0.5412,18.153,-0.9
2.57467,0.5454,16.515,0.3
2.6051,0.5605,7.007,0.2
2.71341,0.5647,3.603,0.2
2.74371,0.5799,-8.911,0.3
2.84859,0.5841,-12.03,0.2
2.87931,0.5988,-19.234,0.2
2.98551,0.6031,-19.929,0.3
3.01347,0.618,-16.536,0.2
3.11994,0.6219,-14.222,0.2
3.14808,0.6368,-1.653,0.2
3.25496,0.6407,2.149,0.3
3.28533,0.6557,14.949,-0.2
3.39234,0.66,17.416,0.2
3.4202,0.6749,19.382,0.3
3.52823,0.6788,18.001,0.2
3.55887,0.694,6.361,0.3
3.6687,0.6982,1.882,-0.2
3.6961,0.7136,-13.521,0.3
3.80457,0.7175,-16.316,0.4
3.83402,0.7326,-19.449,0.3
3.94044,0.7368,-17.83,0.2
3.96772,0.7517,-4.733,0.4
4.0722,0.7555,-0.301,0.3
4.10255,0.7701,15.096,-0.8
4.20869,0.7744,17.929,0.6
4.23866,0.7892,18.005,0.2
4.34565,0.7934,15.157,0.3
4.37356,0.8084,-1.639,0.0
4.48413,0.8123,-6.499,0.3
4.51206,0.8278,-19.431,0.2
4.6194,0.8317,-19.997,1.3
4.64982,0.8467,-10.57,0.3
4.75476,0.851,-5.346,0.0
4.7847,0.8657,13.332,0.2
4.89236,0.8699,17.029,0.3
4.92075,0.8849,17.557,0.2
5.02832,0.8889,14.216,0.3
5.05833,0.904,-5.641,0.2
5.16585,0.9082,-11.125,0.2
5.19416,0.9232,-19.853,0.3
5.30167,0.9272,-18.303,1.5
5.33235,0.9422,-0.565,0.2
5.43806,0.9465,5.857,0.3
5.46591,0.9613,19.806,0.2
5.57327,0.9652,19.736,-0.4
5.60263,0.9803,4.57,0.7
5.71177,0.9844,-1.896,0.2
5.74198,0.9997,-19.366,0.3
5.84897,1.0039,-19.919,0.2
5.87542,1.0189,-5.058,0.2
5.98364,1.0226,1.009,0.3
6.01344,1.0377,19.352,0.3
6.12111,1.0419,19.906,0.3
6.15168,1.057,3.766,0.3
6.26049,1.0612,-3.558,0.3
6.28964,1.0765,-19.955,0.2
6.39612,1.0806,-19.158,0.3
6.4266,1.0955,0.854,0.3
6.53288,1.0997,8.243,0.2
6.56244,1.1146,19.605,0.2
6.66995,1.1187,16.766,0.2
6.70048,1.1338,-7.643,0.3
6.80607,1.1381,-14.203,0.2
6.83643,1.1529,-16.438,0.3
6.94452,1.1571,-10.662,0.2
6.9726,1.1722,15.465,0.2
7.08032,1.1762,19.059,0.3
7.10982,1.1913,8.002,0.3
7.21602,1.1954,0.119,0.3
7.24465,1.2102,-19.889,0.3
7.35477,1.2143,-19.136,-0.4
7.38232,1.2297,5.461,0.2
7.48992,1.2335,12.393,0.2
7.5182,1.2486,16.03,1.1
7.62768,1.2526,9.957,0.2
7.65672,1.2679,-17.593,1.4
7.76651,1.2719,-19.952,-0.1
7.79512,1.2873,-0.243,0.3
7.90272,1.2913,8.07,0.2
7.93124,1.3064,17.87,-0.2
8.03792,1.3104,12.457,0.3
8.06774,1.3253,-16.392,0.2
8.17735,1.3295,-19.774,0.3
8.20414,1.3448,-0.339,0.2
8.3113,1.3486,7.838,0.2
8.34003,1.3636,17.319,1.1
8.44765,1.3676,11.139,0.2
8.47829,1.3827,-18.12,0.3
8.58713,1.387,-19.966,0.2
8.61457,1.4022,5.099,0.2
8.72226,1.406,12.996,0.3
8.75171,1.4211,12.212,0.3
8.85735,1.4253,3.316,0.2
8.88795,1.44,-19.99,-0.5
8.99639,1.4443,-17.08,-0.5
9.02548,1.4595,14.612,0.2
9.13554,1.4636,19.358,0.3
9.16356,1.479,-1.443,0.3
9.27126,1.4829,-10.587,0.2
9.29978,1.498,-12.913,0.3
9.40729,1.502,-3.975,0.0
9.43542,1.517,19.822,0.2
9.53951,1.521,16.103,0.2
9.57007,1.5355,-16.06,0.2
9.678,1.5398,-19.926,0.3
9.70885,1.5549,6.028,0.2
9.81444,1.5592,15.296,0.3
9.84471,1.574,6.384,-0.1
9.95305,1.5783,-4.685,0.3
9.98155,1.5934,-15.437,0.3
10.08951,1.5974,-6.792,0.2
10.11941,1.6125,19.845,0.2
10.22642,1.6167,15.373,0.2
10.25808,1.6317,-18.439,0.2
10.36659,1.6361,-19.552,0.2
10.39724,1.6513,13.579,-0.8
10.50533,1.6556,19.489,0.3
10.53359,1.6708,-6.407,0.0
10.64179,1.6747,-15.481,0.3
10.6706,1.6899,-2.097,0.2
10.77875,1.6939,9.098,0.2
10.80685,1.709,9.483,0.3
10.91604,1.713,-1.493,0.2
10.94395,1.7283,-14.943,0.2
11.05096,1.7322,-5.368,0.2
11.07879,1.7471,18.699,0.2
11.18934,1.751,11.808,0.2
11.21711,1.7665,-19.894,0.2
11.32576,1.7704,-15.495,1.5
11.35424,1.7856,19.724,0.3
11.46191,1.7896,18.107,0.2
11.49048,1.8047,-18.365,0.3
11.59712,1.8087,-19.579,0.2
11.62771,1.8236,16.08,0.0
11.73412,1.8279,19.993,0.3
11.76432,1.8428,-14.017,-0.5
11.87203,1.847,-19.827,0.3
11.90262,1.8621,12.449,0.2
12.01183,1.8664,19.513,0.3
12.03985,1.8817,-11.991,0.2
12.14935,1.8856,-19.106,0.3
12.17732,1.9009,11.236,0.2
12.28556,1.9048,18.855,0.3
12.31429,1.92,-10.524,0.3
12.42238,1.924,-18.724,-0.2
12.45183,1.9391,10.588,1.3
12.55979,1.9433,18.914,0.2
12.58903,1.9584,-11.443,0.4
12.69598,1.9625,-19.231,0.2
12.72422,1.9775,12.343,0.7
12.8319,1.9814,19.428,0.2
12.86124,1.9965,-13.569,0.7
12.96479,2.0006,-19.843,0.2
12.99297,2.0151,14.166,0.2
13.10076,2.019,19.891,0.2
13.12942,2.0341,-16.066,0.2
13.239,2.0381,-19.965,0.3
13.26713,2.0535,18.4,0.3
13.37628,2.0574,19.17,0.2
13.40442,2.0727,-19.752,0.3
13.51374,2.0766,-17.143,0.3
13.5419,2.0919,19.841,0.3
13.64925,2.0959,13.48,0.2
13.67874,2.1109,-18.485,0.2
13.78688,2.115,-8.397,1.3
13.81346,2.1302,14.697,0.3
13.91806,2.1339,2.931,0.2
13.94629,2.1485,-11.376,0.2
14.05305,2.1525,2.422,0.3
14.0817,2.1674,5.069,0.3
14.1892,2.1715,-9.404,0.2
14.22001,2.1865,3.108,0.2
14.32546,2.1908,16.432,0.2
14.35455,2.2056,-11.35,0.2
14.46254,2.2096,-19.614,0.3
14.4905,2.2248,17.87,0.3
14.59726,2.2287,19.211,0.3
14.62553,2.2436,-20.0,0.3
14.73286,2.2476,-14.394,0.2
14.76163,2.2626,17.23,0.3
14.87165,2.2666,5.05,0.2
14.89983,2.282,-7.624,0.3
15.00785,2.286,7.459,0.2
15.03754,2.3011,-4.345,0.3
15.14752,2.3053,-17.255,0.2
15.17511,2.3207,16.362,0.3
15.28361,2.3245,19.755,0.2
15.31147,2.3397,-19.966,0.3
15.4183,2.3436,-13.296,0.2
15.44638,2.3586,14.983,0.3
15.5551,2.3625,0.98,0.2
15.5834,2.3777,-1.765,0.2
15.6921,2.3817,13.212,0.2
15.72016,2.3969,-12.994,0.2
15.82676,2.4008,-19.972,0.6
15.85591,2.4158,19.896,0.2
15.96543,2.4198,14.684,0.2
15.99366,2.4352,-13.81,0.3
16.1013,2.4391,1.335,0.3
16.1309,2.4542,-1.996,0.8
16.23774,2.4583,-16.568,0.2
16.26553,2.4733,16.945,0.3
16.37358,2.4772,19.282,0.6
16.40415,2.4923,-18.68,0.2
16.51347,2.4966,-5.634,0.2
16.54231,2.5119,2.466,0.2
16.65035,2.5159,-13.638,0.2
16.68022,2.5311,15.666,0.3
16.78979,2.5352,19.418,0.2
16.81712,2.5506,-17.889,-0.9
16.92587,2.5544,-5.235,0.2
16.95534,2.5696,0.84,0.3
17.06934,2.5738,-15.342,0.3
17.09659,2.5897,19.199,0.3
17.20564,2.5935,16.848,0.2
17.23556,2.6088,-13.091,0.2
17.34173,2.613,4.529,0.3
17.37164,2.6279,-8.702,0.3
17.47845,2.632,-19.711,0.2
17.50897,2.647,19.906,0.2
17.61502,2.6513,9.528,0.2
17.64313,2.6661,-4.519,0.2
17.75171,2.67,12.568,0.2
17.7804,2.6853,-17.403,0.2
17.88838,2.6893,-18.288,0.2
17.91808,2.7044,13.948,0.2
18.02758,2.7085,-3.999,0.2
18.05497,2.7239,12.273,0.2
18.16109,2.7277,19.999,0.3
18.19121,2.7426,-18.683,0.2
18.3006,2.7468,-4.078,0.2
18.32905,2.7621,-5.968,0.2
18.43816,2.7661,-19.009,-0.9
18.46531,2.7813,19.57,0.3
18.57284,2.7852,8.651,0.3
18.60148,2.8002,1.0,0.2
18.71092,2.8042,17.064,0.2
18.73858,2.8195,-19.984,0.2
18.84587,2.8234,-11.024,0.3
18.87392,2.8384,0.889,0.2
18.98262,2.8424,-15.918,0.2
19.01306,2.8576,19.987,-0.2
19.11843,2.8618,10.473,0.3
19.14827,2.8766,-0.496,0.4
19.25502,2.8808,17.011,0.0
19.28538,2.8957,-19.98,0.2
19.39455,2.9,-8.857,0.2
19.42236,2.9152,-4.962,0.8
19.53048,2.9191,-18.89,0.2
19.5609,2.9343,18.69,0.2
19.66829,2.9385,2.455,0.2
19.69765,2.9536,10.921,0.6
19.80469,2.9577,19.965,0.2
19.83382,2.9727,-14.324,0.2
19.942,2.9767,5.021,0.2
19.97028,2.9919,-17.212,0.2
20.07987,2.9958,-17.638,0.3
