t,freq_hz,commanded_deg,measured_deg
0.10744,0.2,0.0,0.7
0.13307,0.2151,2.896,0.3
0.2405,0.2186,3.637,0.8
0.26581,0.2337,6.918,0.2
0.37153,0.2372,7.72,0.2
0.39701,0.252,11.101,0.2
0.50103,0.2556,11.906,0.2
0.52792,0.2702,15.033,0.6
0.63361,0.2739,15.774,0.2
0.66097,0.2887,18.251,0.2
0.7666,0.2925,18.747,0.2
0.79209,0.3073,19.918,0.2
0.89753,0.3109,19.995,0.3
0.923,0.3257,19.297,0.2
1.02829,0.3292,18.865,0.2
1.05402,0.344,15.901,0.2
1.16023,0.3476,14.889,0.2
1.1858,0.3624,9.576,0.3
1.29041,0.366,8.053,0.3
1.31947,0.3807,1.097,0.3
1.42263,0.3847,-0.964,0.2
1.45166,0.3992,-8.279,0.6
1.5565,0.4032,-10.223,0.3
1.58445,0.4179,-16.218,0.2
1.69012,0.4218,-17.427,0.3
1.7182,0.4366,-19.943,1.4
1.825,0.4406,-19.981,0.7
1.85293,0.4555,-17.446,0.2
1.95771,0.4594,-16.085,0.2
1.98315,0.4741,-8.725,0.2
2.08684,0.4776,-6.507,0.2
2.11501,0.4922,3.39,0.2
2.21895,0.4961,6.098,0.0
2.24708,0.5107,14.85,1.1
2.35291,0.5146,16.638,0.2
2.37872,0.5294,19.993,0.2
2.48382,0.533,19.873,0.2
2.51073,0.5477,15.368,0.3
2.61606,0.5515,13.252,-0.9
2.64335,0.5663,2.324,1.0
2.74727,0.5701,-0.871,0.4
2.77432,0.5846,-12.372,0.2
2.87977,0.5884,-14.789,0.4
2.90802,0.6032,-19.934,0.2
3.0127,0.6071,-19.904,0.2
3.0386,0.6218,-14.292,0.2
3.14595,0.6254,-11.71,0.2
3.17336,0.6404,1.866,0.2
3.27878,0.6443,5.53,0.2
3.30432,0.659,16.944,0.3
3.40809,0.6626,18.574,0.3
3.43722,0.6771,18.696,0.3
3.54113,0.6812,16.78,0.3
3.56949,0.6958,4.503,0.2
3.67512,0.6997,0.283,0.2
3.70145,0.7145,-14.232,0.2
3.80871,0.7182,-16.781,0.3
3.83391,0.7332,-19.285,0.2
3.93893,0.7368,-17.839,0.2
3.96683,0.7515,-4.972,0.8
4.07231,0.7554,-0.451,-0.5
4.09774,0.7701,15.107,1.0
4.20105,0.7737,17.55,1.2
4.22797,0.7882,18.544,0.3
4.3334,0.7919,16.306,0.2
4.36117,0.8067,0.539,0.3
4.46546,0.8106,-4.37,0.2
4.49363,0.8252,-18.347,0.2
4.59962,0.8291,-19.769,0.3
4.62708,0.844,-13.511,0.3
4.73301,0.8478,-9.316,0.2
4.76123,0.8626,9.951,0.2
4.86722,0.8666,14.236,0.3
4.89391,0.8814,19.368,0.2
4.99926,0.8852,17.41,0.2
5.02656,0.8999,0.135,0.2
5.13462,0.9037,-5.303,0.2
5.16008,0.9189,-19.603,0.0
5.26684,0.9224,-19.962,1.1
5.29246,0.9374,-7.708,0.3
5.39789,0.941,-2.509,0.2
5.42331,0.9557,16.811,-0.2
5.5283,0.9593,19.115,0.2
5.55635,0.974,13.278,0.3
5.66118,0.9779,8.101,-0.1
5.69003,0.9926,-13.617,0.3
5.79747,0.9966,-17.576,0.2
5.82474,1.0117,-14.992,0.0
5.93316,1.0155,-10.193,0.2
5.95844,1.0307,13.245,0.2
6.06147,1.0342,17.035,0.2
6.09034,1.0486,15.71,0.2
6.19603,1.0527,10.59,0.2
6.22205,1.0675,-13.139,-1.0
6.32764,1.0711,-17.183,-0.1
6.35419,1.0859,-14.485,0.3
6.46117,1.0896,-9.241,0.2
6.48795,1.1046,15.16,0.2
6.59183,1.1083,18.632,0.2
6.62001,1.1229,11.574,-0.1
6.72578,1.1268,5.031,1.1
6.75262,1.1416,-18.006,0.2
6.85846,1.1454,-19.904,-0.6
6.88609,1.1602,-5.308,-0.8
6.992,1.1641,1.993,0.2
7.01986,1.1789,19.98,0.7
7.12779,1.1828,18.901,0.2
7.15321,1.1979,-4.778,0.2
7.257,1.2015,-11.169,0.2
7.28342,1.216,-17.843,0.3
7.38667,1.2197,-13.359,-1.0
7.41518,1.2341,13.343,-0.9
7.52073,1.2381,18.15,0.2
7.54891,1.2529,9.314,0.2
7.65421,1.2569,1.511,0.2
7.68095,1.2716,-19.889,0.2
7.78534,1.2753,-19.17,0.2
