trial,latency_ms,baseline_sigma_deg
0,97.3,0.131
1,66.7,0.116
2,170.5,0.13
3,52.4,0.241
4,47.6,0.168
5,49.1,0.207
6,58.8,0.189
7,53.6,0.313
8,50.7,0.205
9,48.5,0.222
10,45.6,0.201
11,51.1,0.258
12,53.6,0.205
13,67.1,0.324
14,59.6,0.254
